index	item_id	item_name	item_type	detail_type	effect_type1	effect_value1	effect_type2	effect_value2	maxstack	weight	quality	buy_price	sell_price	description	icon_path
1	10001	헌 헬멧	equip	hat	def	10			1	5	20	200	20	낡았지만, 공격을 막는 데 어느 정도 도움이 될 것 같다.	Images/ItemIcon/Item_Icon_Hat:10001
2	10002	공사장 헬맷	equip	hat	def	15	atk	5	1	5	22	400	40	공사 현장에서 사용되었던 핼멧으로 충격 흡수력이 낮다.	ItemIcon/Item_Icon_Hat:10002
3	10003	오토바이 헬맷	equip	hat	def	20			1	5	24	600	60	도로 위에서 쓰였던 헬멧으로, 중간 정도의 충격은 막아낼 수 있다.	ItemIcon/Item_Icon_Hat:10003
4	10004	오래된 소방 핼멧	equip	hat	def	25	atk	10	1	5	26	800	80	오랜 시간 화재 현장을 누볐던 헬멧으로, 타격에 어느 정도 견딜 수 있다.	ItemIcon/Item_Icon_Hat:10004
5	10005	경찰기동대 헬맷	equip	hat	def	30			1	5	28	1000	100	진압 작전에 사용되던 헬멧으로, 강한 타격도 효과적으로 막아낸다.	ItemIcon/Item_Icon_Hat:10005
6	10006	전술 헬맷	equip	hat	def	35	atk	15	1	5	30	1500	150	전투를 위해 설계된 고성능 헬멧으로, 뛰어난 방탄성과 충격 흡수력을 지닌다.	ItemIcon/Item_Icon_Hat:10006
7	10007	헌 조끼	equip	body	def	15			1	10	20	200	20	오래된 작업복 조끼로, 방어력은 거의 없지만 약한 타격은 막아준다.	
8	10008	보안 요원 조끼	equip	body	def	20			1	10	22	400	40	낡았지만 구조가 견고해, 기본적인 신체 보호는 가능하다.	
9	10009	오토바이 조끼	equip	body	def	25			1	10	24	600	60	두꺼운 충격 흡수 패드가 달린 조끼로, 사고 시 충격을 어느 정도 줄여준다.	
10	10010	오래된 소방복	equip	body	def	30			1	10	26	800	80	사용감이 많지만 질긴 원단으로 충격을 일부 견딜 수 있다.	
11	10011	방검 조끼	equip	body	def	35			1	10	28	1000	100	날카로운 공격에 대비해 제작된 조끼로, 강한 관통 피해를 효과적으로 막아낸다.	
12	10012	전술 조끼	equip	body	def	40			1	10	30	1500	150	전투 상황에 특화된 조끼로, 전신을 안정적으로 보호해준다.	
13	10013	헌 엘보가드	equip	elbow	def	5			1	3	20	200	20	패드가 닳아 있는 보호대로, 팔꿈치를 간신히 덮는 수준이다.	
14	10014	오토바이 엘보가드	equip	elbow	def	10			1	3	24	600	60	충격을 흡수하는 소재로 만들어져, 팔꿈치를 적당히 보호해준다.	
15	10015	군용 엘보가드	equip	elbow	def	15			1	3	30	1500	150	전투용으로 제작되어, 격한 충돌에도 팔꿈치를 확실히 방어한다.	
16	10016	헌 장갑	equip	glove	def	3			1	2	20	200	20	때가 잔뜩 묻은 오래된 장갑으로, 손을 간신히 감싸주는 수준이다.	
17	10017	헌 무릎가드	equip	knee	def	5			1	3	20	200	20	벗겨진 패드가 붙어 있는 보호대로, 약한 충격만 막아낼 수 있다.	
18	10018	슬리퍼	equip	shoes	spd	3			1	4		200	20	바닥이 닳아 미끄럽지만, 맨발보단 나은 수준의 보호를 제공한다.	
19	10019	크로스백	equip	bag	slot	6	wgh	30	1	7	20	200	20	지퍼가 뻑뻑한 낡은 가방으로, 작은 소지품을 안전하게 담을 수 있다.	
20	10120	황도	use	food	hp	5			99	0.3		100	10	기한이 지난 통조림으로, 먹으면 체력을 소량 회복할 수 있다.	
21	10121	삼다수 500ml	use	water	thirst	5	hp	-5	99	1	50	40	4	상온에 오래 있었지만, 갈증 해소와 컨디션 회복에 약간의 도움이 된다.	
22	10122	타이레놀	use	drug	symptoms	5	thirst	-10	99	2		70	7	약간 눅눅하지만, 복용 시 통증과 불쾌감을 줄여준다.	
23	10223	건전지	etc	other					999				0	충전이 거의 다 된 낡은 건전지로, 짧은 시간 동안 기기를 작동시킬 수 있다.	
24	10024												0		
25	10025												0		
26	10026												0		
27	10027												0		
28	10028												0		
29	10029												0		
30	10030												0		
31	10031												0		
